Module                  Size  Used by
hid_logitech_hidpp     65536  0
ccm                    20480  3
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
qrtr                   53248  2
rfcomm                102400  6
cmac                   12288  2
algif_hash             16384  1
algif_skcipher         16384  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
binfmt_misc            24576  1
nvidia_uvm           2158592  0
nls_iso8859_1          12288  1
intel_rapl_msr         20480  0
amd_atl                73728  1
intel_rapl_common      53248  1 intel_rapl_msr
edac_mce_amd           28672  0
snd_soc_dmic           12288  0
snd_acp6x_pdm_dma      12288  0
snd_soc_acp6x_mach     40960  0
snd_sof_amd_acp70      16384  0
snd_sof_amd_acp63      16384  0
snd_ctl_led            24576  0
snd_sof_amd_vangogh    16384  0
snd_sof_amd_rembrandt    16384  0
snd_sof_amd_renoir     16384  0
snd_hda_codec_realtek   217088  1
snd_sof_amd_acp        65536  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_pci            24576  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
snd_sof_xtensa_dsp     12288  1 snd_sof_amd_acp
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
snd_hda_codec_hdmi     98304  1
snd_sof               401408  2 snd_sof_amd_acp,snd_sof_pci
snd_sof_utils          16384  1 snd_sof
snd_pci_ps             24576  0
kvm_amd               245760  0
snd_soc_acpi_amd_match     8192  2 snd_sof_amd_acp63,snd_pci_ps
snd_hda_intel          65536  2
snd_amd_sdw_acpi       16384  2 snd_sof_amd_acp,snd_pci_ps
soundwire_amd          45056  2 snd_sof_amd_acp,snd_pci_ps
snd_intel_dspcfg       45056  2 snd_hda_intel,snd_sof
soundwire_generic_allocation    24576  1 soundwire_amd
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
soundwire_bus         126976  2 soundwire_generic_allocation,soundwire_amd
snd_hda_codec         204800  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
snd_soc_sdca           12288  1 soundwire_bus
rtw89_8852be           12288  0
kvm                  1429504  1 kvm_amd
rtw89_8852b           368640  1 rtw89_8852be
snd_hda_core          147456  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek
snd_soc_core          434176  5 snd_soc_acp6x_mach,snd_sof,snd_acp6x_pdm_dma,soundwire_amd,snd_soc_dmic
snd_hwdep              20480  1 snd_hda_codec
rtw89_8852b_common     73728  1 rtw89_8852b
irqbypass              12288  1 kvm
uvcvideo              147456  0
snd_compress           36864  1 snd_soc_core
polyval_clmulni        12288  0
rtw89_pci             106496  1 rtw89_8852be
polyval_generic        12288  1 polyval_clmulni
videobuf2_vmalloc      20480  1 uvcvideo
nvidia_drm            139264  30
ac97_bus               12288  1 snd_soc_core
snd_seq_midi           24576  0
uvc                    12288  1 uvcvideo
ghash_clmulni_intel    16384  0
snd_pcm_dmaengine      16384  1 snd_soc_core
sha256_ssse3           32768  1
videobuf2_memops       16384  1 videobuf2_vmalloc
snd_seq_midi_event     16384  1 snd_seq_midi
videobuf2_v4l2         36864  1 uvcvideo
sha1_ssse3             32768  0
snd_rpl_pci_acp6x      16384  0
btusb                  73728  0
nvidia_modeset       1814528  11 nvidia_drm
rtw89_core           1077248  3 rtw89_8852b,rtw89_pci,rtw89_8852b_common
snd_rawmidi            57344  1 snd_seq_midi
btrtl                  36864  1 btusb
snd_acp_pci            12288  0
aesni_intel           122880  5
videobuf2_common       90112  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_acp_legacy_common    16384  1 snd_acp_pci
btintel                69632  1 btusb
crypto_simd            16384  1 aesni_intel
snd_pci_acp6x          16384  0
btbcm                  24576  1 btusb
spd5118                12288  0
mac80211             1822720  2 rtw89_core,rtw89_pci
snd_pcm               196608  14 snd_sof_amd_acp,snd_hda_codec_hdmi,snd_pci_acp6x,snd_hda_intel,snd_hda_codec,snd_sof,snd_acp6x_pdm_dma,snd_compress,snd_soc_core,snd_sof_utils,soundwire_amd,snd_hda_core,snd_pci_ps,snd_pcm_dmaengine
btmtk                  36864  1 btusb
videodev              364544  2 videobuf2_v4l2,uvcvideo
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
rapl                   20480  0
nvidia              14376960  209 nvidia_uvm,nvidia_modeset
snd_pci_acp5x          16384  0
bluetooth            1019904  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
mc                     86016  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
lenovo_wmi_hotkey_utilities    12288  0
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
wmi_bmof               12288  0
nvidia_wmi_ec_backlight    12288  0
snd_rn_pci_acp3x       16384  0
cfg80211             1441792  3 rtw89_core,mac80211,rtw89_8852b_common
